,date,time,price,change,volume,amount,type,code
227,2021-06-10,09:41:18,112.42,0.19,182,2045486,买盘,000538
228,2021-06-10,09:41:22,112.24,-0.18,38,427350,卖盘,000538
229,2021-06-10,09:41:24,112.26,0.02,2,22454,中性盘,000538
230,2021-06-10,09:41:28,112.24,-0.02,56,629066,卖盘,000538
231,2021-06-10,09:41:31,112.6,0.36,11,123855,中性盘,000538
232,2021-06-10,09:41:34,112.34,-0.26,14,157318,卖盘,000538
233,2021-06-10,09:41:37,112.26,-0.08,51,572575,卖盘,000538
234,2021-06-10,09:41:39,112.24,-0.02,20,224480,卖盘,000538
235,2021-06-10,09:41:42,112.34,0.1,12,134884,中性盘,000538
236,2021-06-10,09:41:46,112.57,0.23,9,101174,买盘,000538
237,2021-06-10,09:41:49,112.54,-0.03,1,11254,中性盘,000538
238,2021-06-10,09:41:52,112.35,-0.19,11,123600,卖盘,000538
239,2021-06-10,09:41:54,112.51,0.16,7,78747,中性盘,000538
240,2021-06-10,09:41:58,112.5,-0.01,1,11250,中性盘,000538
241,2021-06-10,09:42:01,112.5,0.0,5,56251,中性盘,000538
242,2021-06-10,09:42:04,112.41,-0.09,62,697196,卖盘,000538
243,2021-06-10,09:42:06,112.52,0.11,22,247406,买盘,000538
244,2021-06-10,09:42:10,112.51,-0.01,5,56257,卖盘,000538
245,2021-06-10,09:42:12,112.53,0.02,4,45010,买盘,000538
246,2021-06-10,09:42:15,112.52,-0.01,2,22504,买盘,000538
247,2021-06-10,09:42:19,112.52,0.0,17,191292,中性盘,000538
248,2021-06-10,09:42:22,112.53,0.01,14,157536,卖盘,000538
249,2021-06-10,09:42:25,112.53,0.0,5,56265,卖盘,000538
250,2021-06-10,09:42:28,112.54,0.01,21,236323,买盘,000538
251,2021-06-10,09:42:30,112.6,0.06,47,529197,买盘,000538
252,2021-06-10,09:42:34,112.54,-0.06,30,337640,卖盘,000538
253,2021-06-10,09:42:37,112.53,-0.01,4,45016,卖盘,000538
254,2021-06-10,09:42:40,112.5,-0.03,66,742721,卖盘,000538
255,2021-06-10,09:42:43,112.52,0.02,8,90004,买盘,000538
256,2021-06-10,09:42:45,112.42,-0.1,15,168701,中性盘,000538
257,2021-06-10,09:42:48,112.5,0.08,14,157492,买盘,000538
258,2021-06-10,09:42:52,112.51,0.01,25,281251,买盘,000538
259,2021-06-10,09:42:54,112.5,-0.01,6,67501,卖盘,000538
260,2021-06-10,09:42:58,112.51,0.01,11,123759,买盘,000538
261,2021-06-10,09:43:00,112.51,0.0,110,1237866,买盘,000538
262,2021-06-10,09:43:04,112.51,0.0,67,753948,卖盘,000538
263,2021-06-10,09:43:07,112.6,0.09,15,168811,买盘,000538
264,2021-06-10,09:43:10,112.51,-0.09,30,337600,卖盘,000538
265,2021-06-10,09:43:12,112.52,0.01,6,67520,卖盘,000538
266,2021-06-10,09:43:16,112.52,0.0,19,213827,卖盘,000538
267,2021-06-10,09:43:18,112.52,0.0,73,821382,买盘,000538
268,2021-06-10,09:43:22,112.55,0.03,13,146306,买盘,000538
269,2021-06-10,09:43:24,112.51,-0.04,66,742529,卖盘,000538
270,2021-06-10,09:43:28,112.6,0.09,33,371529,买盘,000538
271,2021-06-10,09:43:30,112.52,-0.08,48,540252,卖盘,000538
272,2021-06-10,09:43:34,112.62,0.1,10,112589,中性盘,000538
273,2021-06-10,09:43:37,112.6,-0.02,45,506692,买盘,000538
274,2021-06-10,09:43:39,112.52,-0.08,26,292817,卖盘,000538
275,2021-06-10,09:43:43,112.64,0.12,16,180147,买盘,000538
276,2021-06-10,09:43:46,112.6,-0.04,8,90080,中性盘,000538
277,2021-06-10,09:43:48,112.6,0.0,5,56300,买盘,000538
278,2021-06-10,09:43:51,112.54,-0.06,100,1125664,卖盘,000538
279,2021-06-10,09:43:55,112.54,0.0,8,90036,中性盘,000538
280,2021-06-10,09:43:58,112.54,0.0,9,101286,买盘,000538
281,2021-06-10,09:44:01,112.52,-0.02,68,765258,卖盘,000538
282,2021-06-10,09:44:05,112.54,0.02,17,191348,买盘,000538
283,2021-06-10,09:44:07,112.52,-0.02,4,45008,卖盘,000538
284,2021-06-10,09:44:10,112.6,0.08,7,78786,买盘,000538
285,2021-06-10,09:44:13,112.54,-0.06,8,90038,卖盘,000538
286,2021-06-10,09:44:16,112.59,0.05,11,123818,买盘,000538
287,2021-06-10,09:44:19,112.54,-0.05,3,33762,卖盘,000538
288,2021-06-10,09:44:22,112.56,0.02,20,225171,买盘,000538
289,2021-06-10,09:44:24,112.6,0.04,13,146356,买盘,000538
290,2021-06-10,09:44:28,112.56,-0.04,10,112556,卖盘,000538
291,2021-06-10,09:44:30,112.56,0.0,28,315153,买盘,000538
292,2021-06-10,09:44:34,112.53,-0.03,43,483935,卖盘,000538
293,2021-06-10,09:44:36,112.6,0.07,65,731720,买盘,000538
294,2021-06-10,09:44:40,112.54,-0.06,50,562954,卖盘,000538
295,2021-06-10,09:44:42,112.6,0.06,12,135117,买盘,000538
296,2021-06-10,09:44:46,112.61,0.01,15,168919,卖盘,000538
297,2021-06-10,09:44:49,112.6,-0.01,48,540516,卖盘,000538
298,2021-06-10,09:44:51,112.61,0.01,44,495440,买盘,000538
299,2021-06-10,09:44:55,112.64,0.03,33,371720,买盘,000538
300,2021-06-10,09:44:57,112.66,0.02,36,405563,买盘,000538
301,2021-06-10,09:45:01,112.66,0.0,9,101388,买盘,000538
302,2021-06-10,09:45:05,112.63,-0.03,78,882652,卖盘,000538
303,2021-06-10,09:45:07,112.7,0.07,33,371881,买盘,000538
304,2021-06-10,09:45:09,112.7,0.0,67,754686,买盘,000538
305,2021-06-10,09:45:13,112.72,0.02,10,112704,买盘,000538
306,2021-06-10,09:45:16,112.72,0.0,11,123984,买盘,000538
307,2021-06-10,09:45:19,112.75,0.03,10,112734,买盘,000538
308,2021-06-10,09:45:21,112.72,-0.03,2,22547,卖盘,000538
309,2021-06-10,09:45:25,112.79,0.07,12,135300,买盘,000538
310,2021-06-10,09:45:27,112.8,0.01,21,236874,买盘,000538
311,2021-06-10,09:45:31,112.8,0.0,13,146640,买盘,000538
312,2021-06-10,09:45:33,112.8,0.0,12,135359,买盘,000538
313,2021-06-10,09:45:37,112.79,-0.01,5,56399,卖盘,000538
314,2021-06-10,09:45:40,112.8,0.01,59,665433,卖盘,000538
315,2021-06-10,09:45:42,112.7,-0.1,40,450907,卖盘,000538
316,2021-06-10,09:45:46,112.78,0.08,46,518687,买盘,000538
317,2021-06-10,09:45:48,112.56,-0.22,59,664368,卖盘,000538
318,2021-06-10,09:45:52,112.6,0.04,27,303952,中性盘,000538
319,2021-06-10,09:45:55,112.61,0.01,91,1024066,买盘,000538
320,2021-06-10,09:45:57,112.64,0.03,26,292705,买盘,000538
321,2021-06-10,09:46:01,112.5,-0.14,25,281289,卖盘,000538
322,2021-06-10,09:46:04,112.5,0.0,8,90000,买盘,000538
323,2021-06-10,09:46:07,112.49,-0.01,7,78723,卖盘,000538
324,2021-06-10,09:46:10,112.52,0.03,30,337501,买盘,000538
